Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Brand (product.metafields.custom.brand),Color (product.metafields.custom.color),InBox (product.metafields.custom.inbox),Model (product.metafields.custom.model),Region (product.metafields.custom.region),Sim (product.metafields.custom.sim),Storage (product.metafields.custom.storage),Warranty (product.metafields.custom.warranty),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
apple-airpods-3-zm-a,Apple AirPods 3 - MME73ZMA,"",TechByte,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,"","Apple, Earphone",true,Title,Default Title,,,,,,,,MME73ZMA,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/A3_1028650a-fe1c-4c9f-99b1-6eb6d1c94cd2.jpg?v=1766222969,1,"",false,,,Apple,White,,AirPods 3,Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-airpods-pro-2-ll-a-met-usb-c,Apple AirPods Pro 2 with USB-C - MTJV3LL/A,"",TechByte,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,"","Apple, Earphone",true,Title,Default Title,,,,,,,,MTJV3LL/A,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/931x1200_df61539c-67d0-448d-b2c8-c709c0a75aad.jpg?v=1766222959,1,"",false,,,Apple,White,"In Box: Airpods Pro 2
MagSafe Charging Case (USB?C) with speaker and lanyard loop
Silicone ear tips (five sizes: XS, S, M, L)
Documentation
USB?C Charge Cable",AirPods Pro 2,Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-airpods-pro-3-ze-a,Apple Airpods Pro 3 - MFHP4ZE/A,"",TechByte,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,"","Apple, Earphone, Netherland",true,Title,Default Title,,,,,,,,MFHP4ZE/A,0.0,shopify,0,deny,manual,193.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/758x1200_bb64ae82-6218-49fb-8dc5-f7fec0032751.jpg?v=1766222957,1,"",false,,,Apple,White,"In Box: Airpods Pro 3
MagSafe Charging Case (USB?C) with speaker and lanyard loop
Silicone ear tips (five sizes: XXS, XS, S, M, L)
Documentation
USB?C Charge Cable is sold separately",AirPods Pro 3,Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-airpods-pro-ty-a,Apple AirPods Pro - MWP2TY/A,"",TechByte,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,"","Apple, Earphone",true,Title,Default Title,,,,,,,,MWP2TY/A,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/AP1_369217ef-8b21-4efc-8b49-bab4032013f6.jpg?v=1766222956,1,"",false,,,Apple,White,,AirPods Pro,Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-airpods-pro-with-magsafe-ty-a,Apple AirPods Pro with MagSafe - MLWK3TY/A,"",TechByte,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,"","Apple, Earphone",true,Title,Default Title,,,,,,,,MLWK3TY/A,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/AP1_47c1b54c-bf72-4c54-8f96-88bdcfd138dc.jpg?v=1766222955,1,"",false,,,Apple,White,,AirPods Pro,Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-airpods-pro-with-magsafe-zm-a,Apple AirPods Pro with MagSafe - MLWK3ZMA,"",TechByte,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,"","Apple, Earphone",true,Title,Default Title,,,,,,,,MLWK3ZMA,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/AP1_538ae789-337e-4ee1-bd13-5a1b9e361436.jpg?v=1766222954,1,"",false,,,Apple,White,,AirPods Pro,Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-airpods-pro-zm-a,Apple AirPods Pro - MWP2ZM/A,"",TechByte,Electronics > Audio > Audio Components > Headphones & Headsets > Headphones > In-Ear Headphones,"","Apple, Earphone",true,Title,Default Title,,,,,,,,MWP2ZM/A,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/AP1_dad737ba-301d-40b0-bffc-5399c645a778.jpg?v=1766222953,1,"",false,,,Apple,White,,AirPods Pro,Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-airtag-4-stuks-am-a,Apple AirTag - 4 pack - MX542AM/A,"",TechByte,Electronics > GPS Tracking Devices,"","Airtag, Apple",true,Title,Default Title,,,,,,,,MX542AM/A,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/airtag-4pack-select-202104_FMT_WHH.jpg?v=1767099462,1,"",false,,,Apple,White,In Box: Airtag x 4,AirTag,Eu,Sim: -,,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-iphone-14-128gb-blauw,Apple iPhone 14 - 128GB - Blue,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Apple, Mobile Phone",true,Title,Default Title,,,,,,,,'0194253409571,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/906x1200_da8f3e5b-f205-4b66-9e6d-e3a75af21d4f.jpg?v=1766222948,1,"",false,,,Apple,Blue,"In Box: iPhone
USB‑C Charge Cable (1 m)
Documentation",iPhone 14,Eu,Sim: Physical Sim + Esim,128GB,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-iphone-14-128gb-middernacht,Apple iPhone 14 - 128GB - Midnight,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Apple, Mobile Phone",true,Title,Default Title,,,,,,,,'0194253408253,0.0,shopify,65,deny,manual,437.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/910x1200_65921849-a5bc-4bf1-8130-0789bf5c5c31.jpg?v=1766222945,1,"",false,,,Apple,Midnight,"In Box: iPhone
USB‑C Charge Cable (1 m)
Documentation",iPhone 14,Eu,Sim: Physical Sim + Esim,128GB,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-iphone-14-128gb-sterrenlicht,Apple iPhone 14 - 128GB - Starlight,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Apple, Mobile Phone",true,Title,Default Title,,,,,,,,'0194253408581,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/906x1200_2_8d6af71c-b2f4-4a7b-bd26-9a2ee5b6bf5f.jpg?v=1766222943,1,"",false,,,Apple,Starlight,"In Box: iPhone
USB‑C Charge Cable (1 m)
Documentation",iPhone 14,Eu,Sim: Physical Sim + Esim,128GB,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-iphone-15-128gb-black,Apple iPhone 15 - 128GB - Black,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Apple, Mobile Phone",true,Title,Default Title,,,,,,,,'0195949036064,0.0,shopify,0,deny,manual,499.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/917x1200_7eaa629a-5b9c-4f98-a69b-81c1276248e5.jpg?v=1766222926,1,"",false,,,Apple,Black,"In Box: iPhone
USB‑C Charge Cable (1 m)
Documentation",iPhone 15,Eu,Sim: Physical Sim + Esim,128GB,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-iphone-15-128gb-blue,Apple iPhone 15 - 128GB - Blue,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Apple, Mobile Phone",true,Title,Default Title,,,,,,,,'0195949036606,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/918x1200_2b323c2b-efde-4b76-b7a9-ed832dad3d4b.jpg?v=1766222925,1,"",false,,,Apple,Blue,"In Box: iPhone
USB‑C Charge Cable (1 m)
Documentation",iPhone 15,Eu,Sim: Physical Sim + Esim,128GB,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-iphone-15-256gb-pink,Apple iPhone 15 - 256GB - Pink,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Apple, Mobile Phone",true,Title,Default Title,,,,,,,,'0195949037146,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/914x1200_d5a3adfb-9c7d-44a2-b40d-71da1f4d1a1a.jpg?v=1766222916,1,"",false,,,Apple,Pink,"In Box: iPhone
USB‑C Charge Cable (1 m)
Documentation",iPhone 15,Eu,Sim: Physical Sim + Esim,256GB,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-iphone-16e-128gb-zwart,Apple iPhone 16e - 128GB - Black,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Apple, Mobile Phone",true,Title,Default Title,,,,,,,,'0195950051155,0.0,shopify,0,deny,manual,485.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/987x1200_1_75db8d53-428f-4cf1-b8cd-818b183144db.jpg?v=1766222901,1,"",false,,,Apple,Black,"In Box: iPhone
USB‑C Charge Cable (1 m)
Documentation",iPhone 16e,Eu,Sim: Physical Sim + Esim,128GB,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-iphone-se-2022-128gb-wit,Apple iPhone SE (2022) - 128GB - White,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Apple, Mobile Phone",true,Title,Default Title,,,,,,,,'0194253014355,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/820x1200_a0dcc194-5602-44c5-bb13-eda7e99537db.jpg?v=1766222880,1,"",false,,,Apple,White,"In Box: iPhone
USB‑C Charge Cable (1 m)
Documentation",iPhone SE (2022),Eu,Sim: Physical Sim + Esim,128GB,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-iphone-se-2022-128gb-zwart,Apple iPhone SE (2022) - 128GB - Black,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Apple, Mobile Phone",true,Title,Default Title,,,,,,,,'0194253014065,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/813x1200_e38fd1d5-7b6f-4a5f-89f8-946f53fdcf71.jpg?v=1766222879,1,"",false,,,Apple,Black,"In Box: iPhone
USB‑C Charge Cable (1 m)
Documentation",iPhone SE (2022),Eu,Sim: Physical Sim + Esim,128GB,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-iphone-se-2022-64gb-wit,Apple iPhone SE (2022) - 64GB - White,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Apple, Mobile Phone",true,Title,Default Title,,,,,,,,'0194253013488,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/820x1200_049d1eb5-9fdb-499f-a0a3-d29cdaf394d9.jpg?v=1766222877,1,"",false,,,Apple,White,"In Box: iPhone
USB‑C Charge Cable (1 m)
Documentation",iPhone SE (2022),Eu,Sim: Physical Sim + Esim,64GB,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
apple-iphone-se-2022-64gb-zwart,Apple iPhone SE (2022) - 64GB - Black,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Apple, Mobile Phone",true,Title,Default Title,,,,,,,,'0194253013198,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0703/7612/8663/files/813x1200_4ffeafd9-d806-4b59-81bd-b2ba46e634cf.jpg?v=1766222876,1,"",false,,,Apple,Black,"In Box: iPhone
USB‑C Charge Cable (1 m)
Documentation",iPhone SE (2022),Eu,Sim: Physical Sim + Esim,64GB,Warranty: 1 Year Global Warranty,,,,,,kg,,,active
redmi-note-12-pro-5g-8gb-ram-256gb-rom-midnight-zwart,Redmi Note 12 Pro+ 5G 8GB RAM 256GB ROM - Midnight Black,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Mobile Phone, Xiaomi",true,Title,Default Title,,,,,,,,'6941812713716,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,Xiaomi,Black,"In Box: Mobile Phone
USB Type-C Cable
Documentation",Redmi Note 12 Pro 5G,Eu,,256GB,Warranty: Factory Warranty,,,,,,kg,,,active
samsung-galaxy-a05-4-128gb-zwart,Samsung Galaxy A05 - 4/128GB- Black,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Mobile Phone, Samsung",true,Title,Default Title,,,,,,,,'8806095264851,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,Samsung,Black,"In Box: Smartphone
Data Cable
Documentation",Galaxy A05,Eu,,128GB,Warranty: Factory Warranty,,,,,,kg,,,active
samsung-galaxy-a05s-128gb-black,Samsung Galaxy A05s - 128GB - Black,"",TechByte,Electronics > Communications > Telephony > Mobile & Smart Phones,"","Mobile Phone, Samsung",true,Title,Default Title,,,,,,,,'8806095268354,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,Samsung,Black,"In Box: Smartphone
Data Cable
Documentation",Galaxy A05s,Eu,,128GB,Warranty: Factory Warranty,,,,,,kg,,,active
